"ГОСТ Р 56947-2016/ISO/IEC/IEEE 21450:2010 Информационные технологии. Интерфейс интеллектуального преобразователя для датчиков и исполнительных устройств. Общие функции, протоколы взаимодействия и форматы электронной таблицы данных преобразователя (ЭТДП)",ГОСТ Р от 07 июня 2016 года №56947-2016
"ГОСТ Р ИСО/МЭК 29109-8-2016 Информационные технологии. Биометрия. Методология испытаний на соответствие форматам обмена биометрическими данными, определенным в комплексе стандартов ИСО/МЭК 19794. Часть 8. Данные изображения отпечатка пальца - остов",ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 29109-8-2016
"ГОСТ Р ИСО/МЭК 29109-8-2016 Информационные технологии. Биометрия. Методология испытаний на соответствие форматам обмена биометрическими данными, определенным в комплексе стандартов ИСО/МЭК 19794. Часть 8. Данные изображения отпечатка пальца - остов",ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 29109-8-2016
"ГОСТ Р ИСО/МЭК 29109-7-2016 Информационные технологии. Биометрия. Методология испытаний на соответствие форматам обмена биометрическими данными, определенным в комплексе стандартов ИСО/МЭК 19794. Часть 7. Данные динамики подписи",ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 29109-7-2016
"ГОСТ Р ИСО/МЭК 29109-7-2016 Информационные технологии. Биометрия. Методология испытаний на соответствие форматам обмена биометрическими данными, определенным в комплексе стандартов ИСО/МЭК 19794. Часть 7. Данные динамики подписи",ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 29109-7-2016
"ГОСТ Р ИСО/МЭК 29109-6-2016 Информационные технологии. Биометрия. Методология испытаний на соответствие форматам обмена биометрическими данными, определенным в комплексе стандартов ИСО/МЭК 19794. Часть 6. Данные изображения радужной оболочки глаза",ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 29109-6-2016
"ГОСТ Р ИСО/МЭК 29109-6-2016 Информационные технологии. Биометрия. Методология испытаний на соответствие форматам обмена биометрическими данными, определенным в комплексе стандартов ИСО/МЭК 19794. Часть 6. Данные изображения радужной оболочки глаза",ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 29109-6-2016
ГОСТ Р ИСО/МЭК 24713-3-2016 Информационные технологии. Биометрия. Биометрические профили для взаимодействия и обмена данными. Часть 3. Биометрическая верификация и идентификация моряков,ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 24713-3-2016
ГОСТ Р ИСО/МЭК 24713-3-2016 Информационные технологии. Биометрия. Биометрические профили для взаимодействия и обмена данными. Часть 3. Биометрическая верификация и идентификация моряков,ГОСТ Р от 07 июня 2016 года №ИСО/МЭК 24713-3-2016
"ГОСТ Р 56947-2016/ISO/IEC/IEEE 21450:2010 Информационные технологии. Интерфейс интеллектуального преобразователя для датчиков и исполнительных устройств. Общие функции, протоколы взаимодействия и форматы электронной таблицы данных преобразователя (ЭТДП)",ГОСТ Р от 07 июня 2016 года №56947-2016
ГОСТ Р 53633.12-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Процессы уровня 2 eTOM. Управление организацией. Управление знаниями организации и исследованиями,ГОСТ Р от 03 июня 2016 года №53633.12-2016
ГОСТ Р 53633.20-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Основная деятельность. Управление и эксплуатация ресурсов. Процессы уровня 3 eTOM. Процесс 1.1.3.5 - Сбор и распределение данных о ресурсах,ГОСТ Р от 03 июня 2016 года №53633.20-2016
ГОСТ Р 53633.19-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Основная деятельность. Управление и эксплуатация ресурсов. Процессы уровня 3 eTOM. Процесс 1.1.3.4 – Управление параметрами работы ресурсов,ГОСТ Р от 03 июня 2016 года №53633.19-2016
ГОСТ Р 53633.18-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Основная деятельность. Управление и эксплуатация ресурсов. Процессы уровня 3 eTOM. Процесс 1.1.3.3 - Управление авариями на ресурсах,ГОСТ Р от 03 июня 2016 года №53633.18-2016
ГОСТ Р 53633.17-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Основная деятельность. Управление и эксплуатация ресурсов. Процессы уровня 3 eTOM. Процесс 1.1.3.2 - Подготовка ресурсов,ГОСТ Р от 03 июня 2016 года №53633.17-2016
ГОСТ Р 53633.16-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Основная деятельность. Управление и эксплуатация ресурсов. Процессы уровня 3 eTOM. Процесс 1.1.3.1 - Поддержка и обеспечение готовности процессов RM&O,ГОСТ Р от 03 июня 2016 года №53633.16-2016
ГОСТ Р 53633.14-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Процессы уровня 2 eTOM. Управление организацией. Управление отношениями с заинтересованными сторонами и внешними связями,ГОСТ Р от 03 июня 2016 года №53633.14-2016
ГОСТ Р 53633.12-2016 Информационные технологии. Сеть управления электросвязью. Расширенная схема деятельности организации связи (eTOM). Декомпозиция и описания процессов. Процессы уровня 2 eTOM. Управление организацией. Управление знаниями организации и исследованиями,ГОСТ Р от 03 июня 2016 года №53633.12-2016
ГОСТ Р МЭК 62657-2-2016 Сети промышленной коммуникации. Беспроволочные коммуникационные сети. Часть 2. Обеспечение совместимости,ГОСТ Р от 01 июня 2016 года №МЭК 62657-2-2016
ГОСТ Р МЭК 62443-3-3-2016 Сети промышленной коммуникации. Безопасность сетей и систем. Часть 3-3. Требования к системной безопасности и уровни безопасности,ГОСТ Р от 01 июня 2016 года №МЭК 62443-3-3-2016
ГОСТ Р 56939-2016 Защита информации. Разработка безопасного программного обеспечения. Общие требования,ГОСТ Р от 01 июня 2016 года №56939-2016
ГОСТ Р 56938-2016 Защита информации. Защита информации при использовании технологий виртуализации. Общие положения,ГОСТ Р от 01 июня 2016 года №56938-2016
